sig_id,Ligand,Organism,Celltype.cellline,Dose,Duration,Platform,source
sig_CCN1_7_y,CCN1,Homo sapiens,THP1 monocytes (ATCC TIB-202),5 ug/ml,24h,RNA-Seq,LigScape
sig_CCN3_1_y,CCN3,Homo sapiens,Breast; Mammary gland (Carcinoma disease state)_breast cancer cell/Hs578T,na,na,RNA-Seq,LigScape
sig_CD2_1_y,CD2,Homo sapiens,CD8 T cells,na,6h,RNA-Seq,LigScape
sig_CD2_2_y,CD2,Homo sapiens,CD8 T cells,na,24h,RNA-Seq,LigScape
sig_CD44_1_y,CD44,Homo sapiens,human glioblastoma cells/U251,na,na,RNA-Seq,LigScape
sig_CD44_3_y,CD44,Homo sapiens,mammary gland/breast_Breast cancer cell line/MDA-MB-231,na,na,RNA-Seq,LigScape
sig_CD44_4_y,CD44,Homo sapiens,mammary gland/breast_Breast cancer cell line/Hs578T,na,na,RNA-Seq,LigScape
sig_CD48_1_y,CD48,Homo sapiens,human CD4 T cells,na,4d,RNA-Seq,LigScape
sig_CD52_1_y,CD52,Homo sapiens,Peripheral blood mononuclear cells (PBMCs)_B Cell,20 ug/mL,6h,RNA-Seq,LigScape
sig_CD58_1_y,CD58,Homo sapiens,Blood_Chimeric antigen receptor T cell_PBMC,na,na,RNA-Seq,LigScape
sig_CD70_1_y,CD70,Homo sapiens,glioblastoma_GBM8/GBM4/BT241 cell lines (derived from primary patient samples of Glioblastoma),na,na,RNA-Seq,LigScape
sig_CD80_1_SMARTNxt100k_y,CD80,Homo sapiens,Primary human naïve CD4 T cells,na,2h,RNA-Seq,LigScape
sig_CD80_2_SMARTNxt5k_y,CD80,Homo sapiens,Primary human naïve CD4 T cells,na,2h,RNA-Seq,LigScape
sig_CD80_3_SMARTCC100k_y,CD80,Homo sapiens,Primary human naïve CD4 T cells,na,2h,RNA-Seq,LigScape
sig_CD80_4_SMARTCC5k_y,CD80,Homo sapiens,Primary human naïve CD4 T cells,na,2h,RNA-Seq,LigScape
sig_CD80_5_Ampliseq100k_y,CD80,Homo sapiens,Primary human naïve CD4 T cells,na,2h,RNA-Seq,LigScape
sig_CD80_6_Ampliseq5k_y,CD80,Homo sapiens,Primary human naïve CD4 T cells,na,2h,RNA-Seq,LigScape
sig_CD80andCD86_1_y,CD80andCD86,Homo sapiens,Whole Blood,na,12w,RNA-Seq,LigScape
sig_CD84_1_y,CD84,Homo sapiens,Bone marrow_sorted G-MDSCs,na,na,RNA-Seq,LigScape
sig_CD84_2_y,CD84,Homo sapiens,Bone marrow_sorted M-MDSCs,na,na,RNA-Seq,LigScape
sig_CD86_1_y,CD86,Homo sapiens,myeloma cell lines MM.1s_ RPMI8226_ KMS18_ and RPMI8226 that overexpresses the anti-apoptotic protein Mcl1,na,na,RNA-Seq,LigScape
sig_CD96_1_y,CD96,Homo sapiens,T cells isolated from peripheral blood mononuclear cells,na,6h,RNA-Seq,LigScape
sig_CDH1_1_y,CDH1,Homo sapiens,Fundic gland_Stomach - human Gastric Organoids,na,na,RNA-Seq,LigScape
sig_CGA_1_y,CGA,Homo sapiens,Human gastric cancer cell line_multi-drug resistant (MDR) cells (SGC7901/ADR and SGC7901/VCR),na,na,RNA-Seq,LigScape
sig_CIRBP_1_y,CIRBP,Homo sapiens,Immortalized human cardiomyoctes/T0519,na,na,RNA-Seq,LigScape
sig_CRH_1_y,CRH,Homo sapiens,Purified human haematopoietic stem and progenitor cells (HSPCs) derived from umbilical cord blood,50nM,16h,RNA-Seq,LigScape
sig_CXCL10_1_y,CXCL10,Homo sapiens,Donor primary CD8+ T cell,100nM,2h,RNA-Seq,LigScape
sig_CXCL11_1_y,CXCL11,Homo sapiens,Donor primary CD8+ T cell,100nM,2h,RNA-Seq,LigScape
sig_CXCL11_2_y,CXCL11,Homo sapiens,Activated human peripheral blood T lymphocyte,na,na,RNA-Seq,LigScape
sig_CXCL9_1_y,CXCL9,Homo sapiens,Donor primary CD8+ T cell,100nM,2h,RNA-Seq,LigScape
