sig_id,Ligand,Organism,Celltype.cellline,Dose,Duration,Platform,source
IFNG.Dose.100.U.ml_Duration.72h.Condition.Melanoma.cell.line.GSE19428.MicroArray.HG.U133A_2,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.10.ng.ml_Duration.72h.Condition.Melanoma.cell.line.GSE19428.MicroArray.HG.U133A_2,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Dose.10.uM.Condition.iPS.Rock.GSE103945.RNASeq.SRP117905_GRCh38,TGFB1,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
TGFB1.Dose.10.uM.Condition.iPS.Rock.8Br.cAMP.GSE103945.RNASeq.SRP117905_GRCh38,TGFB1,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
TGFB1.Dose.10.uM.Condition.iPS.Rock.BMP4.GSE103945.RNASeq.SRP117905_GRCh38,TGFB1,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IFNA.Dose.1000.IU.ml.Condition.Human.ovarian.cancer.cells.Duration.5h.GSE10943.MicroArray.HG.U133_Plus_2,IFNA,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Dose.20.ng.mL_Duration.24h.Condition.Alveolar.macrophage.GSE64995.MicroArray.HuEx.1_0.st.v1,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL6.Duration.1h.Condition.Human.multiple.myeloma.cells..INA6..GSE29793.MicroArray.GPL13648,IL6,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB3.Duration.1.d.Condition.human.BM.MSC.GSE10315.MicroArray.HG.U133_Plus_2,TGFB3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB3.Duration.21.d.Condition.human.BM.MSC.GSE10315.MicroArray.HG.U133_Plus_2,TGFB3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB3.Duration.3.d.Condition.human.BM.MSC.GSE10315.MicroArray.HG.U133_Plus_2,TGFB3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB3.Duration.7.d.Condition.human.BM.MSC.GSE10315.MicroArray.HG.U133_Plus_2,TGFB3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Condition.Macrophage.GSE5099.MicroArray.HG.U133A,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB3.Dose.5.ng.ml.Condition.Ect1.Duration.10h.GSE35830.MicroArray.HG.U133_Plus_2,TGFB3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
GMCSF.Condition.Monocyte.GSE63662.MicroArray.HG.U133_Plus_2,CSF2,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TRAIL.Dose.1.Î.g.mL.Condition.breast.epithelium.S1.2D.Duration.8h.GSE138900.MicroArray.HG.U133A,TNFSF10,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TRAIL.Dose.1.Î.g.mL.Condition.breast.epithelium.S1.3D.Duration.8h.GSE138900.MicroArray.HG.U133A,TNFSF10,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Condition.Placenta.GSE104348.RNASeq.SRP119002_GRCh38,IFNB1,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IFNL.Condition.Placenta.GSE104348.RNASeq.SRP119002_GRCh38,IFNL2andIFNL3andIFNL1andIFNL4,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
TGFB3.Dose.10ng.ml.Condition.A549.lung.GSE125369.RNASeq.SRP180359_GRCh38,TGFB3,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL6.Dose.5.ng.ml_Duration.18h.Condition.LNCaP.GSE47973.MicroArray.HT_HG.U133_Plus_PM,IL6,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL6.Dose.5.ng.ml_Duration.18h.Condition.MDA.Pca.2b.GSE47973.MicroArray.HT_HG.U133_Plus_PM,IL6,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.GSE24403.MicroArray.GPL6480,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL5.Condition.natural.killer.cell.E.MTAB.2847.MicroArray.HuGene.2_0.st,IL5,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
GCSF.Condition.Leukocyte.GSE7400.MicroArray.HG.U133_Plus_2,CSF3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL6.Condition.Ovarian.cancer.cell.line.GSE20272.MicroArray.HG.U133_Plus_2,IL6,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL2.Condition.CD4..T.cell.GSE16993.MicroArray.GPL2507,IL2,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNA.Dose.1000.IU.ml.Condition.HTLV.1.infected.CD4..T.cells.Duration.6h.GSE34870.MicroArray.GPL6480,IFNA,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Dose.1000.IU.ml.Condition.HTLV.1.infected.CD4..T.cells.Duration.6h.GSE34870.MicroArray.GPL6480,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL2.Condition.PBMC.derived.T.lymphocytes.GSE13909.MicroArray.HG.U133_Plus_2,IL2,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL2.Condition.peripheral.blood.T.lymphocytes.GSE13909.MicroArray.HG.U133_Plus_2,IL2,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL2.Condition.spleen.derived.T.lymphocytes.GSE13909.MicroArray.HG.U133_Plus_2,IL2,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
LIF.Condition.Female.hiPSC.GSE44044.MicroArray.GPL14550,LIF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNA.Dose.500U.ml.Condition.HT1080.Duration.12h.GSE31019.MicroArray.HuGene.1_0.st.v1,IFNA,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNA.Dose.500U.ml.Condition.HT1080.Duration.6h.GSE31019.MicroArray.HuGene.1_0.st.v1,IFNA,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNA.Dose.500U.ml.Condition.SKOV3.Duration.6h.GSE31019.MicroArray.HuGene.1_0.st.v1,IFNA,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TRAIL.Condition.Sarcoma.GSE36572.MicroArray.HG.U133_Plus_2,TNFSF10,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Duration.24h.Condition.dermal.fibroblasts.GSE137107.MicroArray.HuGene.2_0.st,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Duration.2h.Condition.dermal.fibroblasts.GSE137107.MicroArray.HuGene.2_0.st,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Duration.6h.Condition.dermal.fibroblasts.GSE137107.MicroArray.HuGene.2_0.st,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL6.Dose.10.ng.ml.Condition.T.CD4.CD25..Duration.24h.GSE78922.RNASeq.SRP071170_GRCh38,IL6,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL12.Condition.activated.naive.CD4.T.cells.GSE78276.RNASeq.SRP070776_GRCh38,IL12AandIL12B,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
TGFB1.Condition.activated.naive.CD4.T.cells.GSE78276.RNASeq.SRP070776_GRCh38,TGFB1,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL13.Condition.monocyte.derived.macrophage.GSE120086.RNASeq.SRP161957_GRCh38,IL13,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL4.Condition.monocyte.derived.macrophage.GSE120086.RNASeq.SRP161957_GRCh38,IL4,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL6.GSE22325.MicroArray.HG.U133_Plus_2,IL6,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL3.GSE22325.MicroArray.HG.U133_Plus_2,IL3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL1B.GSE22325.MicroArray.HG.U133_Plus_2,IL1B,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL2.Condition.T.CD4.Duration.12h.GSE7571.MicroArray.GPL887,IL2,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL2.Condition.T.CD4.Duration.24h.GSE7571.MicroArray.GPL887,IL2,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL2.Condition.T.CD4.Duration.48h.GSE7571.MicroArray.GPL887,IL2,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL2.Condition.T.CD4.Duration.6h.GSE7571.MicroArray.GPL887,IL2,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL2.Condition.T.CD4.Duration.72h.GSE7571.MicroArray.GPL887,IL2,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.AALEB.GSE77154.MicroArray.HG.U133_Plus_2,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Duration.30d.Condition.HCC827.cell.line.GSE123031.MicroArray.GPL10558,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Dose.1ng.mL.Condition.ALF1.plasma.cell.leukaemia.cell.line.Duration.2h.GSE94057.RNASeq.SRP097749_GRCh38,IFNG,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IFNA.Condition.primary.human.monocyte.derived.macrophages..MDMs..GSE54455.MicroArray.GPL6884,IFNA,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Condition.Macrophage.GSE123603.RNASeq.SRP173264_GRCh38,IL4,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL6.Condition.Macrophage.GSE123603.RNASeq.SRP173264_GRCh38,IL6,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL11.Condition.hESC.line.H1.GSE51159.MicroArray.GPL6883,IL11,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Condition.monocyte.derived.macrophages.E.MTAB.1437.MicroArray.Transformed_data_file,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.Umbilical.vein.endothelial.cells.GSE76340.MicroArray.GPL10558,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Dose.5.ng.mL.Condition.Bronchial.epithelial.cells.GSE100574.RNASeq.SRP110620_GRCh38,TGFB1,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
TGFB1.Dose.5.ng.mL.Condition.Bronchial.epithelial.cells.Estrogen.GSE100574.RNASeq.SRP110620_GRCh38,TGFB1,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
TGFB2.Duration.24h.Condition.fibroblast.E.MTAB.4871.MicroArray.exprs,TGFB2,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Dose.10.ng.ml.Condition.Human.Osteoblast.Cell.Line.GSE17843.MicroArray.GPL4133,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL17A.Dose.10ng.ml.Condition.bronchial.airway.smooth.muscle..ASM..cells.Duration.2h.GSE35643.MicroArray.HuGene.1_0.st.v1,IL17A,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.B.cell.GSE111475.MicroArray.GPL10558,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL21.Condition.B.cell.GSE111475.MicroArray.GPL10558,IL21,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Dose.2.5â..ng.ml_Duration.5d.Condition.A549.GSE100292.RNASeq.SRP110004_GRCh38,TGFB1,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL1A.Dose.10ng.ml_Duration.1h.Condition.HuH7.cells.GSE89166.MicroArray.GPL16699,IL1A,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL1B.Dose.1ng.ml.Condition.Endometrial.Stromal.T.HESC.GSE40007.MicroArray.GPL2895,IL1B,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.5ng.ml.Condition.Endometrial.Stromal.T.HESC.GSE40007.MicroArray.GPL2895,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.monocyte.dervied.macrophages.Duration.24h.GSE82227.RNASeq.SRP076097_GRCh38,IFNG,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IFNG.Condition.monocyte.dervied.macrophages.Duration.2h.GSE82227.RNASeq.SRP076097_GRCh38,IFNG,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IFNG.Condition.monocyte.dervied.macrophages.Duration.6h.GSE82227.RNASeq.SRP076097_GRCh38,IFNG,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL13.GSE57637.RNASeq.SRP041956_GRCh38,IL13,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
TGFB1.Condition.hepatocellular.carcinoma.cell.line.GSE10393.MicroArray.HT_HG.U133A,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.Condition.Lymphoma.Duration.0.5h.GSE23591.MicroArray.HuGene.1_0.st.v1,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.Condition.Lymphoma.Duration.0h.GSE23591.MicroArray.HuGene.1_0.st.v1,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.Condition.Lymphoma.Duration.1.5h.GSE23591.MicroArray.HuGene.1_0.st.v1,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.Condition.Lymphoma.Duration.12h.GSE23591.MicroArray.HuGene.1_0.st.v1,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.Condition.Lymphoma.Duration.1h.GSE23591.MicroArray.HuGene.1_0.st.v1,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.Condition.Lymphoma.Duration.2h.GSE23591.MicroArray.HuGene.1_0.st.v1,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.Condition.Lymphoma.Duration.3h.GSE23591.MicroArray.HuGene.1_0.st.v1,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.Condition.Lymphoma.Duration.4h.GSE23591.MicroArray.HuGene.1_0.st.v1,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.Condition.Lymphoma.Duration.6h.GSE23591.MicroArray.HuGene.1_0.st.v1,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.Condition.Lymphoma.Duration.8h.GSE23591.MicroArray.HuGene.1_0.st.v1,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.10.ng.mL_Duration.1w.Condition.Chordoma.cell.GSE101866.MicroArray.GPL17692,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Condition.peripheral.blood..isolated.CD14.monocytes.GSE114181.MicroArray.HG.U133_Plus_2,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Dose.500U.mL.Condition.A549.GSE35267.MicroArray.GPL10558,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.GSE16252.MicroArray.GPL8601,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNA.Condition.HNEC.GSE19182.MicroArray.HuGene.1_0.st.v1,IFNA,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Condition.HNEC.GSE19182.MicroArray.HuGene.1_0.st.v1,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.HNEC.GSE19182.MicroArray.HuGene.1_0.st.v1,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL13.Condition.HNEC.GSE19182.MicroArray.HuGene.1_0.st.v1,IL13,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL4.Condition.HNEC.GSE19182.MicroArray.HuGene.1_0.st.v1,IL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL10.Duration.2d.Condition.Circulating.macrophage.GSE97744.RNASeq.SRP103864_GRCh38,IL10,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IFNA.Dose.1000IU.mL_Duration.12h.Condition.primary.dermal.fibroblast.Control.GSE119709.RNASeq.SRP160881_GRCh38,IFNA,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IFNA.Dose.1000IU.mL_Duration.12h.Condition.primary.dermal.fibroblast.Patient.GSE119709.RNASeq.SRP160881_GRCh38,IFNA,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IFNA.Dose.1000IU.mL_Duration.6h.Condition.primary.dermal.fibroblast.Control.GSE119709.RNASeq.SRP160881_GRCh38,IFNA,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IFNA.Dose.1000IU.mL_Duration.6h.Condition.primary.dermal.fibroblast.Patient.GSE119709.RNASeq.SRP160881_GRCh38,IFNA,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
TGFB1.Dose.0.5ng.ml.Condition.human.OSCC.cell.line.GSE74580.MicroArray.GPL10558,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TWEAK.Condition.MDA.MB.436.Duration.1h.GSE42045.MicroArray.HG.U133_Plus_2,TNFSF12,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TWEAK.Condition.MDA.MB.436.Duration.24h.GSE42045.MicroArray.HG.U133_Plus_2,TNFSF12,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TWEAK.Condition.MDA.MB.436.Duration.25h.GSE42045.MicroArray.HG.U133_Plus_2,TNFSF12,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TWEAK.Condition.MDA.MB.436.Duration.4h.GSE42045.MicroArray.HG.U133_Plus_2,TNFSF12,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TWEAK.Condition.MDA.MB.436.Duration.8h.GSE42045.MicroArray.HG.U133_Plus_2,TNFSF12,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Dose.2.ng.ml.Condition.HMEC.Duration.5h.GSE2638.MicroArray.HG.U133A,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL10.Condition.Monocytes.GSE82315.MicroArray.HuGene.1_0.st.v1,IL10,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Dose.50.n.m_Duration.12h.Condition.A375.E.MEXP.3720.MicroArray.HuGene.1_0.st.v1,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Dose.50.n.m_Duration.24h.Condition.A375.E.MEXP.3720.MicroArray.HuGene.1_0.st.v1,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Dose.50.n.m_Duration.3h.Condition.A375.E.MEXP.3720.MicroArray.HuGene.1_0.st.v1,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Dose.50.n.m_Duration.48h.Condition.A375.E.MEXP.3720.MicroArray.HuGene.1_0.st.v1,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Dose.50.n.m_Duration.72h.Condition.A375.E.MEXP.3720.MicroArray.HuGene.1_0.st.v1,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.Human.monocyte.derived.dendritic.cells.GSE47621.MicroArray.HuGene.1_0.st.v1,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Condition.Microglia.GSE76734.MicroArray.HuGene.2_0.st,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Dose.100.u.m.Condition.PBMC.Duration.18h.E.MTAB.1724.MicroArray.HuGene.1_1.st.v1,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Dose.100.u.m.Condition.PBMC.Duration.2h.E.MTAB.1724.MicroArray.HuGene.1_1.st.v1,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Dose.100.u.m.Condition.PBMC.Duration.6h.E.MTAB.1724.MicroArray.HuGene.1_1.st.v1,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Duration.24h.Condition.Aortic.Endothelial.Cells.GSE126198.RNASeq.SRP184297_GRCh38,TNF,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
TNFA.Duration.4h.Condition.Aortic.Endothelial.Cells.GSE126198.RNASeq.SRP184297_GRCh38,TNF,Homo sapiens,In_id,In_id,In_id,RNA-Seq,CytoSig
IL17A.Condition.dendritic.cells.GSE53163.MicroArray.HG.U133_Plus_2,IL17A,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNA.Dose.1000.u.ml.Condition.HSG.Duration.12h.GSE41291.MicroArray.GPL6947,IFNA,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Dose.50.ng.ml.Condition.HSG.Duration.12h.GSE41291.MicroArray.GPL6947,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNA.Dose.1000.u.ml.Condition.HSG.Duration.24h.GSE41291.MicroArray.GPL6947,IFNA,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Dose.50.ng.ml.Condition.HSG.Duration.24h.GSE41291.MicroArray.GPL6947,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNA.Dose.1000.u.ml.Condition.HSG.Duration.48h.GSE41291.MicroArray.GPL6947,IFNA,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Dose.50.ng.ml.Condition.HSG.Duration.48h.GSE41291.MicroArray.GPL6947,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNA.Dose.1000.u.ml.Condition.HSG.Duration.4h.GSE41291.MicroArray.GPL6947,IFNA,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Dose.50.ng.ml.Condition.HSG.Duration.4h.GSE41291.MicroArray.GPL6947,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Condition.Dendritic.GSE54970.MicroArray.HG.U133_Plus_2,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Dose.1000Units.mL_Duration.8h.Condition.A375.GSE51114.MicroArray.GPL14550,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Dose.1000Units.mL_Duration.8h.Condition.SkMel105.GSE51114.MicroArray.GPL14550,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Dose.1000Units.mL_Duration.8h.Condition.SkMel133.GSE51114.MicroArray.GPL14550,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Dose.1000Units.mL_Duration.8h.Condition.SkMel2.GSE51114.MicroArray.GPL14550,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Dose.1000Units.mL_Duration.8h.Condition.SkMel39.GSE51114.MicroArray.GPL14550,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Dose.1000Units.mL_Duration.8h.Condition.WM1361.GSE51114.MicroArray.GPL14550,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.Retinal.pigment.epithelial..RPE..cells.Duration.48h.GSE36331.MicroArray.GPL6244,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Condition.Retinal.pigment.epithelial..RPE..cells.Duration.48h.GSE36331.MicroArray.GPL6244,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL10.Condition.CD4..T.cell.Duration.8h.GSE17199.MicroArray.GPL2507,IL10,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.HCT116.colorectal.cancer.cell.Duration.4h.GSE122985.MicroArray.GPL10558,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNB.Dose.100.u.ml.Condition.Lymphoblast.Duration.4h.GSE58240.MicroArray.GPL10558,IFNB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Condition.HUVEC.GSE56309.MicroArray.GPL10558,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNL.Dose.25.ng.mL_Duration.24h.Condition.primary.human.hepatocytes.GSE31264.MicroArray.HG.U133_Plus_2,IFNL2andIFNL3andIFNL1andIFNL4,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB3.Dose.2.5ng.ml.Condition.B.cells.Duration.20h.GSE120368.MicroArray.GPL10558,TGFB3,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IL32.Dose.5ng.ml_Duration.40h.Condition.T.cell.lymphomas.GSE58033.MicroArray.HG.U133_Plus_2,IL32,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TNFA.Condition.A549.GSE32254.MicroArray.HuGene.1_0.st.v1,TNF,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.Control.GSE11886.MicroArray.HG.U133_Plus_2,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Condition.Patient.GSE11886.MicroArray.HG.U133_Plus_2,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Dose.100.IU.ml.Condition.keratinocytes.from.DK.7.Duration.24h.GSE1132.MicroArray.GPL96,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Duration.2h.Condition.THP.1.macrophage_TB.infected.GSE17477.MicroArray.HG.U133A_2,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
IFNG.Duration.2h.Condition.THP.1.macrophage_TB.uninfected.GSE17477.MicroArray.HG.U133A_2,IFNG,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Dose.100.pM_Duration.2h.Condition.HaCaT.E.TABM.420.MicroArray.E.TABM.420.processed.data.1627283100,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Dose.100.pM_Duration.2h.Condition.MDA.MB.231.E.TABM.420.MicroArray.E.TABM.420.processed.data.1627283100,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Dose.3.ng.ml.Condition.Th1.cells.GSE2770.MicroArray.HG.U133A,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Dose.3.ng.ml.Condition.Th2.cells.GSE2770.MicroArray.HG.U133A,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Condition.HuCCT1.GSE102109.MicroArray.GPL17077,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
TGFB1.Condition.Huh28.GSE102109.MicroArray.GPL17077,TGFB1,Homo sapiens,In_id,In_id,In_id,MicroArray,CytoSig
